time;ahrsDataKalman.angData[0];ahrsDataKalman.angData[1];ahrsDataKalman.angData[2];ahrsDataMahony.angData[0];ahrsDataMahony.angData[1];ahrsDataMahony.angData[2]
2024-09-08-01:12:53.795918;-0.010732421874999787;-0.47893432617187504;0.0;-0.00804931640624984;-0.48468383789062486;-0.00632446289062516;
2024-09-08-01:12:53.798047;-0.01111572265625016;-0.4779760742187502;0.0;-0.00804931640624984;-0.48468383789062486;-0.00632446289062516;
2024-09-08-01:12:53.800156;-0.009007568359375107;-0.47989257812499986;0.0;-0.00804931640624984;-0.48468383789062486;-0.00632446289062516;
2024-09-08-01:12:53.802272;-0.009390869140625036;-0.48027587890625023;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.804394;-0.008240966796874805;-0.4810424804687501;0.0;-0.00804931640624984;-0.48468383789062486;-0.00632446289062516;
2024-09-08-01:12:53.806510;-0.008815917968750142;-0.47989257812499986;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.808624;-0.008624267578125178;-0.47950927734374993;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.810742;-0.008240966796874805;-0.47989257812499986;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.812865;-0.00804931640624984;-0.481617431640625;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.814991;-0.006707763671875089;-0.4827673339843752;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.817115;-0.00632446289062516;-0.4833422851562501;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.819231;-0.005749511718749822;-0.483917236328125;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.821347;-0.005557861328124858;-0.48315063476562514;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.823463;-0.004791259765625;-0.4844921874999999;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.825584;-0.0045996093750000355;-0.48315063476562514;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.827708;-0.005174560546874929;-0.48315063476562514;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.829826;-0.004216308593750107;-0.48315063476562514;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.831944;-0.0034497070312498046;-0.48410888671874996;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.834065;-0.0026831054687499467;-0.48410888671874996;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.836180;-0.003641357421875213;-0.4852587890625002;0.0;-0.007857666015624876;-0.48468383789062486;-0.00632446289062516;
2024-09-08-01:12:53.838305;-0.0045996093750000355;-0.4852587890625002;0.0;-0.007857666015624876;-0.48468383789062486;-0.00632446289062516;
2024-09-08-01:12:53.840420;-0.005749511718749822;-0.48506713867187523;0.0;-0.007857666015624876;-0.48468383789062486;-0.00632446289062516;
2024-09-08-01:12:53.842536;-0.005366210937499893;-0.4848754882812498;0.0;-0.007857666015624876;-0.4844921874999999;-0.00632446289062516;
2024-09-08-01:12:53.844657;-0.005749511718749822;-0.48506713867187523;0.0;-0.007857666015624876;-0.4844921874999999;-0.00632446289062516;
2024-09-08-01:12:53.846780;-0.00804931640624984;-0.48602539062500005;0.0;-0.007857666015624876;-0.48468383789062486;-0.00632446289062516;
2024-09-08-01:12:53.848907;-0.006899414062500053;-0.4867919921874999;0.0;-0.007857666015624876;-0.48468383789062486;-0.00632446289062516;
2024-09-08-01:12:53.851040;-0.007282714843749982;-0.48640869140625;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.853150;-0.007091064453125018;-0.48640869140625;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.855266;-0.006516113281250124;-0.4869836425781249;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.857388;-0.007282714843749982;-0.48794189453125014;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.859509;-0.007474365234374947;-0.4892834472656249;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.861625;-0.006899414062500053;-0.48851684570312504;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.863741;-0.007474365234374947;-0.4881335449218751;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.865859;-0.007857666015624876;-0.4900500488281252;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.870114;-0.007091064453125018;-0.48985839843750023;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.874358;-0.007474365234374947;-0.48985839843750023;0.0;-0.007857666015624876;-0.4848754882812498;-0.006132812500000195;
2024-09-08-01:12:53.876471;-0.008240966796874805;-0.4900500488281252;0.0;-0.007857666015624876;-0.4848754882812498;-0.006132812500000195;
2024-09-08-01:12:53.878585;-0.009007568359375107;-0.48947509765624986;0.0;-0.007857666015624876;-0.4848754882812498;-0.006132812500000195;
2024-09-08-01:12:53.880698;-0.008815917968750142;-0.48985839843750023;0.0;-0.007857666015624876;-0.4848754882812498;-0.006132812500000195;
2024-09-08-01:12:53.882843;-0.009390869140625036;-0.4877502441406252;0.0;-0.007857666015624876;-0.4848754882812498;-0.006132812500000195;
2024-09-08-01:12:53.884966;-0.010157470703124893;-0.48851684570312504;0.0;-0.007857666015624876;-0.4848754882812498;-0.006132812500000195;
2024-09-08-01:12:53.887079;-0.009965820312499929;-0.48660034179687495;0.0;-0.007857666015624876;-0.4848754882812498;-0.006132812500000195;
2024-09-08-01:12:53.889188;-0.009199218750000071;-0.48602539062500005;0.0;-0.007857666015624876;-0.4848754882812498;-0.006132812500000195;
2024-09-08-01:12:53.891482;-0.009199218750000071;-0.4873669433593748;0.0;-0.007857666015624876;-0.4848754882812498;-0.006132812500000195;
2024-09-08-01:12:53.893445;-0.009199218750000071;-0.48640869140625;0.0;-0.007857666015624876;-0.4848754882812498;-0.006132812500000195;
2024-09-08-01:12:53.895545;-0.009007568359375107;-0.48640869140625;0.0;-0.007857666015624876;-0.4848754882812498;-0.006132812500000195;
2024-09-08-01:12:53.897663;-0.009007568359375107;-0.4858337402343751;0.0;-0.007857666015624876;-0.4848754882812498;-0.006132812500000195;
2024-09-08-01:12:53.899778;-0.010349121093749858;-0.486217041015625;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.901894;-0.00958251953125;-0.48506713867187523;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.904018;-0.010540771484374822;-0.4844921874999999;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.906135;-0.010540771484374822;-0.4848754882812498;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.908257;-0.012648925781249876;-0.4848754882812498;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.910376;-0.013415527343750178;-0.48430053710937493;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.912494;-0.01284057617187484;-0.4829589843750002;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.914611;-0.011307373046875124;-0.48238403320312484;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.916734;-0.011307373046875124;-0.481617431640625;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.918855;-0.010157470703124893;-0.4810424804687501;0.0;-0.00804931640624984;-0.4844921874999999;-0.00632446289062516;
2024-09-08-01:12:53.920981;-0.010924072265625195;-0.47989257812499986;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:53.923098;-0.011690673828125053;-0.4804675292968752;0.0;-0.00804931640624984;-0.4844921874999999;-0.00632446289062516;
2024-09-08-01:12:53.925226;-0.013223876953125213;-0.4810424804687501;0.0;-0.008240966796874805;-0.4844921874999999;-0.00632446289062516;
2024-09-08-01:12:53.927356;-0.010540771484374822;-0.48123413085937505;0.0;-0.008240966796874805;-0.4844921874999999;-0.00632446289062516;
2024-09-08-01:12:53.929462;-0.010540771484374822;-0.48142578125;0.0;-0.008240966796874805;-0.4844921874999999;-0.00632446289062516;
2024-09-08-01:12:53.931576;-0.009199218750000071;-0.4808508300781251;0.0;-0.00804931640624984;-0.4844921874999999;-0.00632446289062516;
2024-09-08-01:12:53.933706;-0.009965820312499929;-0.4821923828124999;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:53.935816;-0.009390869140625036;-0.4829589843750002;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:53.937932;-0.006899414062500053;-0.4852587890625002;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:53.940168;-0.00632446289062516;-0.483917236328125;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:53.942286;-0.005174560546874929;-0.4827673339843752;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:53.944311;-0.0049829101562499645;-0.483917236328125;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:53.946424;-0.004024658203125142;-0.48640869140625;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:53.948538;-0.004791259765625;-0.48640869140625;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:53.950653;-0.003641357421875213;-0.48717529296874984;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.952770;-0.0030664062499998757;-0.4869836425781249;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.954885;-0.0030664062499998757;-0.4875585937500002;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.957013;-0.0017248535156251243;-0.48832519531250007;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.959127;-0.0021081542968750533;-0.48851684570312504;0.0;-0.007857666015624876;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.963358;-0.0019165039062500888;-0.4877502441406252;0.0;-0.007666015624999911;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.965476;-0.0017248535156251243;-0.48909179687499993;0.0;-0.007666015624999911;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.967600;-0.002874755859374911;-0.48832519531250007;0.0;-0.007666015624999911;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.969715;-0.0026831054687499467;-0.48660034179687495;0.0;-0.007666015624999911;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.971833;-0.002874755859374911;-0.48851684570312504;0.0;-0.007666015624999911;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.973951;-0.0026831054687499467;-0.48794189453125014;0.0;-0.007666015624999911;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.976088;-0.004024658203125142;-0.48794189453125014;0.0;-0.007666015624999911;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.978205;-0.002874755859374911;-0.486217041015625;0.0;-0.007666015624999911;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.980323;-0.00325805664062484;-0.4858337402343751;0.0;-0.007666015624999911;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.982443;-0.004407958984375071;-0.4873669433593748;0.0;-0.007666015624999911;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.984561;-0.004024658203125142;-0.48545043945312516;0.0;-0.007666015624999911;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.986676;-0.00325805664062484;-0.48506713867187523;0.0;-0.007666015624999911;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:53.988800;-0.0034497070312498046;-0.4829589843750002;0.0;-0.007666015624999911;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:53.990913;-0.0045996093750000355;-0.48238403320312484;0.0;-0.007666015624999911;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:53.993039;-0.005749511718749822;-0.4820007324218749;0.0;-0.007666015624999911;-0.4844921874999999;-0.00632446289062516;
2024-09-08-01:12:53.995155;-0.007666015624999911;-0.4844921874999999;0.0;-0.007666015624999911;-0.4844921874999999;-0.00632446289062516;
2024-09-08-01:12:53.997279;-0.010540771484374822;-0.48410888671874996;0.0;-0.007666015624999911;-0.4844921874999999;-0.00632446289062516;
2024-09-08-01:12:53.999400;-0.010349121093749858;-0.4829589843750002;0.0;-0.007666015624999911;-0.4844921874999999;-0.00632446289062516;
2024-09-08-01:12:54.001520;-0.010732421874999787;-0.48353393554687507;0.0;-0.007857666015624876;-0.4844921874999999;-0.00632446289062516;
2024-09-08-01:12:54.003638;-0.012457275390624911;-0.4825756835937498;0.0;-0.007857666015624876;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:54.005761;-0.012265624999999947;-0.481617431640625;0.0;-0.007857666015624876;-0.4844921874999999;-0.00632446289062516;
2024-09-08-01:12:54.007879;-0.013223876953125213;-0.48372558593750004;0.0;-0.007857666015624876;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:54.010004;-0.013223876953125213;-0.4833422851562501;0.0;-0.007857666015624876;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:54.012120;-0.014373779296875;-0.48430053710937493;0.0;-0.007857666015624876;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:54.014242;-0.014373779296875;-0.48506713867187523;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:54.016361;-0.013032226562499805;-0.48545043945312516;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:54.018477;-0.014182128906250036;-0.4852587890625002;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:54.020591;-0.013798828125000107;-0.48660034179687495;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:54.022710;-0.014373779296875;-0.48717529296874984;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:54.024831;-0.013223876953125213;-0.48545043945312516;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:54.026957;-0.013607177734375142;-0.4875585937500002;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:54.029086;-0.01284057617187484;-0.48717529296874984;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:54.031203;-0.013032226562499805;-0.4856420898437501;0.0;-0.00804931640624984;-0.4844921874999999;-0.006132812500000195;
2024-09-08-01:12:54.033323;-0.012457275390624911;-0.4873669433593748;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:54.035438;-0.010924072265625195;-0.48851684570312504;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:54.037555;-0.011882324218750018;-0.48890014648437496;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:54.039677;-0.011307373046875124;-0.4881335449218751;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
2024-09-08-01:12:54.041794;-0.011307373046875124;-0.48717529296874984;0.0;-0.00804931640624984;-0.48468383789062486;-0.006132812500000195;
