time;ahrsDataKalman.angData[0];ahrsDataKalman.angData[1];ahrsDataKalman.angData[2];ahrsDataMahony.angData[0];ahrsDataMahony.angData[1];ahrsDataMahony.angData[2]
2024-09-08-01:10:00.925205;-0.005941162109374787;-0.4858337402343751;0.0;-0.006516113281250124;-0.4856420898437501;-0.004024658203125142;
2024-09-08-01:10:00.927318;-0.006132812500000195;-0.486217041015625;0.0;-0.006516113281250124;-0.4856420898437501;-0.004024658203125142;
2024-09-08-01:10:00.929432;-0.00632446289062516;-0.4848754882812498;0.0;-0.006516113281250124;-0.4856420898437501;-0.004216308593750107;
2024-09-08-01:10:00.931558;-0.006516113281250124;-0.48410888671874996;0.0;-0.006516113281250124;-0.4856420898437501;-0.004216308593750107;
2024-09-08-01:10:00.933675;-0.00632446289062516;-0.48430053710937493;0.0;-0.006516113281250124;-0.4856420898437501;-0.004216308593750107;
2024-09-08-01:10:00.935796;-0.008432617187500213;-0.4833422851562501;0.0;-0.006516113281250124;-0.48545043945312516;-0.004216308593750107;
2024-09-08-01:10:00.937917;-0.009390869140625036;-0.481617431640625;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:00.940032;-0.00958251953125;-0.4821923828124999;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:00.942151;-0.011307373046875124;-0.48065917968750016;0.0;-0.006707763671875089;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:00.944285;-0.012265624999999947;-0.47893432617187504;0.0;-0.006707763671875089;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:00.946397;-0.012648925781249876;-0.4797009277343749;0.0;-0.006707763671875089;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:00.948539;-0.012265624999999947;-0.47931762695312496;0.0;-0.006707763671875089;-0.4852587890625002;-0.004024658203125142;
2024-09-08-01:10:00.950650;-0.013607177734375142;-0.47931762695312496;0.0;-0.006707763671875089;-0.4852587890625002;-0.004216308593750107;
2024-09-08-01:10:00.952755;-0.012648925781249876;-0.47931762695312496;0.0;-0.006707763671875089;-0.4852587890625002;-0.004216308593750107;
2024-09-08-01:10:00.954871;-0.011499023437500089;-0.48065917968750016;0.0;-0.006899414062500053;-0.4852587890625002;-0.004216308593750107;
2024-09-08-01:10:00.956990;-0.011307373046875124;-0.48027587890625023;0.0;-0.006899414062500053;-0.4852587890625002;-0.004216308593750107;
2024-09-08-01:10:00.959104;-0.011307373046875124;-0.48065917968750016;0.0;-0.006899414062500053;-0.4852587890625002;-0.004216308593750107;
2024-09-08-01:10:00.961222;-0.010157470703124893;-0.4827673339843752;0.0;-0.006899414062500053;-0.4852587890625002;-0.004216308593750107;
2024-09-08-01:10:00.963344;-0.010540771484374822;-0.48353393554687507;0.0;-0.006899414062500053;-0.4852587890625002;-0.004216308593750107;
2024-09-08-01:10:00.965467;-0.010732421874999787;-0.48315063476562514;0.0;-0.006899414062500053;-0.4852587890625002;-0.004216308593750107;
2024-09-08-01:10:00.967600;-0.009965820312499929;-0.48545043945312516;0.0;-0.006899414062500053;-0.48545043945312516;-0.004216308593750107;
2024-09-08-01:10:00.969716;-0.009774169921874964;-0.48660034179687495;0.0;-0.006899414062500053;-0.48545043945312516;-0.004216308593750107;
2024-09-08-01:10:00.971835;-0.00958251953125;-0.4852587890625002;0.0;-0.006899414062500053;-0.48545043945312516;-0.004216308593750107;
2024-09-08-01:10:00.973951;-0.008240966796874805;-0.4875585937500002;0.0;-0.006899414062500053;-0.48545043945312516;-0.004216308593750107;
2024-09-08-01:10:00.976077;-0.00804931640624984;-0.4867919921874999;0.0;-0.006899414062500053;-0.48545043945312516;-0.004216308593750107;
2024-09-08-01:10:00.978706;-0.00632446289062516;-0.4873669433593748;0.0;-0.006707763671875089;-0.48545043945312516;-0.004216308593750107;
2024-09-08-01:10:00.980336;-0.0049829101562499645;-0.48794189453125014;0.0;-0.006707763671875089;-0.48545043945312516;-0.004216308593750107;
2024-09-08-01:10:00.982431;-0.00632446289062516;-0.48794189453125014;0.0;-0.006707763671875089;-0.48545043945312516;-0.004216308593750107;
2024-09-08-01:10:00.984552;-0.006516113281250124;-0.48832519531250007;0.0;-0.006707763671875089;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:00.986666;-0.005174560546874929;-0.48794189453125014;0.0;-0.006707763671875089;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:00.988790;-0.004791259765625;-0.48794189453125014;0.0;-0.006707763671875089;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:00.990905;-0.004791259765625;-0.49024169921875016;0.0;-0.006707763671875089;-0.4856420898437501;-0.004024658203125142;
2024-09-08-01:10:00.993021;-0.0017248535156251243;-0.48890014648437496;0.0;-0.006707763671875089;-0.4856420898437501;-0.004024658203125142;
2024-09-08-01:10:00.995144;-0.0022998046875000178;-0.4881335449218751;0.0;-0.006707763671875089;-0.4856420898437501;-0.004024658203125142;
2024-09-08-01:10:00.997258;-0.0026831054687499467;-0.48851684570312504;0.0;-0.006707763671875089;-0.4856420898437501;-0.004024658203125142;
2024-09-08-01:10:00.999376;-0.00325805664062484;-0.4875585937500002;0.0;-0.006707763671875089;-0.4856420898437501;-0.004024658203125142;
2024-09-08-01:10:01.005698;-0.0030664062499998757;-0.48717529296874984;0.0;-0.006707763671875089;-0.4856420898437501;-0.004024658203125142;
2024-09-08-01:10:01.006534;-0.0038330078125001776;-0.4858337402343751;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.007430;-0.0034497070312498046;-0.48545043945312516;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.008258;-0.0030664062499998757;-0.4852587890625002;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.010011;-0.0030664062499998757;-0.48468383789062486;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.012126;-0.0015332031250001599;-0.4852587890625002;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.014240;-0.0019165039062500888;-0.4848754882812498;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.016358;-0.002874755859374911;-0.48430053710937493;0.0;-0.006516113281250124;-0.48545043945312516;-0.004216308593750107;
2024-09-08-01:10:01.018480;-0.004216308593750107;-0.4833422851562501;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.020600;-0.0030664062499998757;-0.48238403320312484;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.022710;-0.004216308593750107;-0.48142578125;0.0;-0.006516113281250124;-0.48545043945312516;-0.004216308593750107;
2024-09-08-01:10:01.024826;-0.004791259765625;-0.48238403320312484;0.0;-0.006516113281250124;-0.48545043945312516;-0.004216308593750107;
2024-09-08-01:10:01.026972;-0.005174560546874929;-0.48372558593750004;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.029065;-0.007091064453125018;-0.4829589843750002;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.031182;-0.007857666015624876;-0.4829589843750002;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.033300;-0.008432617187500213;-0.4833422851562501;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.035420;-0.007666015624999911;-0.4844921874999999;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.037545;-0.006899414062500053;-0.48468383789062486;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.039664;-0.007282714843749982;-0.4844921874999999;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.041785;-0.007857666015624876;-0.48660034179687495;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.043907;-0.007857666015624876;-0.48602539062500005;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.046023;-0.008624267578125178;-0.4869836425781249;0.0;-0.006707763671875089;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.048150;-0.007091064453125018;-0.48832519531250007;0.0;-0.006516113281250124;-0.48545043945312516;-0.004024658203125142;
2024-09-08-01:10:01.050260;-0.008624267578125178;-0.4881335449218751;0.0;-0.006707763671875089;-0.4856420898437501;-0.004024658203125142;
