time;ahrsDataKalman.angData[0];ahrsDataKalman.angData[1];ahrsDataKalman.angData[2];ahrsDataMahony.angData[0];ahrsDataMahony.angData[1];ahrsDataMahony.angData[2]
2024-09-08-01:11:26.345642;-0.007282714843749982;-0.47931762695312496;0.0;-0.007857666015624876;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.347760;-0.005557861328124858;-0.47931762695312496;0.0;-0.007857666015624876;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.349874;-0.00632446289062516;-0.4797009277343749;0.0;-0.007857666015624876;-0.4848754882812498;-0.005941162109374787;
2024-09-08-01:11:26.351980;-0.005557861328124858;-0.4808508300781251;0.0;-0.007857666015624876;-0.4848754882812498;-0.005941162109374787;
2024-09-08-01:11:26.354095;-0.005366210937499893;-0.48238403320312484;0.0;-0.007857666015624876;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.356213;-0.006132812500000195;-0.4804675292968752;0.0;-0.007857666015624876;-0.4848754882812498;-0.005941162109374787;
2024-09-08-01:11:26.358379;-0.009199218750000071;-0.48123413085937505;0.0;-0.007857666015624876;-0.4848754882812498;-0.005941162109374787;
2024-09-08-01:11:26.360480;-0.007857666015624876;-0.4833422851562501;0.0;-0.007857666015624876;-0.4848754882812498;-0.005941162109374787;
2024-09-08-01:11:26.363233;-0.007666015624999911;-0.4829589843750002;0.0;-0.007857666015624876;-0.4848754882812498;-0.005941162109374787;
2024-09-08-01:11:26.364727;-0.006516113281250124;-0.48468383789062486;0.0;-0.007857666015624876;-0.4848754882812498;-0.005941162109374787;
2024-09-08-01:11:26.366838;-0.007091064453125018;-0.4869836425781249;0.0;-0.007857666015624876;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.368946;-0.007474365234374947;-0.4869836425781249;0.0;-0.007857666015624876;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.371063;-0.008432617187500213;-0.48602539062500005;0.0;-0.007857666015624876;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.373178;-0.007857666015624876;-0.4873669433593748;0.0;-0.007857666015624876;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.375311;-0.008624267578125178;-0.48794189453125014;0.0;-0.007857666015624876;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.379548;-0.007474365234374947;-0.4896667480468748;0.0;-0.007857666015624876;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.381669;-0.00804931640624984;-0.48909179687499993;0.0;-0.007857666015624876;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.383790;-0.008240966796874805;-0.4900500488281252;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.385909;-0.006707763671875089;-0.491199951171875;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.388030;-0.006516113281250124;-0.4906250000000001;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.390149;-0.007282714843749982;-0.4896667480468748;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.392276;-0.008624267578125178;-0.491199951171875;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.394398;-0.008624267578125178;-0.49139160156249995;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.396526;-0.006899414062500053;-0.49139160156249995;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.398643;-0.008240966796874805;-0.4896667480468748;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.400760;-0.007857666015624876;-0.48832519531250007;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.402876;-0.008240966796874805;-0.4877502441406252;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.404997;-0.007091064453125018;-0.4881335449218751;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.407122;-0.006707763671875089;-0.48832519531250007;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.409240;-0.009007568359375107;-0.4873669433593748;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.411373;-0.00804931640624984;-0.48717529296874984;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.413492;-0.009007568359375107;-0.48545043945312516;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.415607;-0.010157470703124893;-0.48602539062500005;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.417728;-0.010540771484374822;-0.48602539062500005;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.419844;-0.010349121093749858;-0.48506713867187523;0.0;-0.007857666015624876;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.421959;-0.012457275390624911;-0.48506713867187523;0.0;-0.00804931640624984;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.424077;-0.013032226562499805;-0.4844921874999999;0.0;-0.00804931640624984;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.426200;-0.01284057617187484;-0.48506713867187523;0.0;-0.00804931640624984;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.428330;-0.012073974609374982;-0.48430053710937493;0.0;-0.00804931640624984;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.430449;-0.012073974609374982;-0.483917236328125;0.0;-0.00804931640624984;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.432568;-0.011307373046875124;-0.483917236328125;0.0;-0.00804931640624984;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.434685;-0.011499023437500089;-0.48410888671874996;0.0;-0.00804931640624984;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.436805;-0.010924072265625195;-0.48410888671874996;0.0;-0.00804931640624984;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.438927;-0.010349121093749858;-0.4848754882812498;0.0;-0.00804931640624984;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.441043;-0.010540771484374822;-0.48372558593750004;0.0;-0.00804931640624984;-0.4852587890625002;-0.005941162109374787;
2024-09-08-01:11:26.443160;-0.010157470703124893;-0.48180908203124995;0.0;-0.00804931640624984;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.445288;-0.009390869140625036;-0.48027587890625023;0.0;-0.00804931640624984;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.447411;-0.009007568359375107;-0.48123413085937505;0.0;-0.00804931640624984;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.449527;-0.008240966796874805;-0.4808508300781251;0.0;-0.00804931640624984;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.451647;-0.00804931640624984;-0.48142578125;0.0;-0.00804931640624984;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.453766;-0.007282714843749982;-0.4821923828124999;0.0;-0.00804931640624984;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.455884;-0.007282714843749982;-0.48238403320312484;0.0;-0.00804931640624984;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.458005;-0.007282714843749982;-0.48315063476562514;0.0;-0.00804931640624984;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.460128;-0.005174560546874929;-0.4833422851562501;0.0;-0.00804931640624984;-0.48506713867187523;-0.005941162109374787;
2024-09-08-01:11:26.462246;-0.0034497070312498046;-0.48315063476562514;0.0;-0.007857666015624876;-0.48506713867187523;-0.005941162109374787;
