time;ahrsDataKalman.angData[0];ahrsDataKalman.angData[1];ahrsDataKalman.angData[2];ahrsDataMahony.angData[0];ahrsDataMahony.angData[1];ahrsDataMahony.angData[2]
2024-09-08-01:10:43.666183;-0.008815917968750142;-0.48372558593750004;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.668300;-0.009774169921874964;-0.48315063476562514;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.670416;-0.009390869140625036;-0.4825756835937498;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.672539;-0.009199218750000071;-0.4833422851562501;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.674663;-0.009007568359375107;-0.483917236328125;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.676781;-0.008815917968750142;-0.4852587890625002;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.678906;-0.008815917968750142;-0.48468383789062486;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.681022;-0.008624267578125178;-0.48468383789062486;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.683143;-0.008815917968750142;-0.48506713867187523;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.685260;-0.007474365234374947;-0.486217041015625;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.687390;-0.008240966796874805;-0.48602539062500005;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.689508;-0.007474365234374947;-0.4848754882812498;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.691623;-0.00804931640624984;-0.4848754882812498;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.693744;-0.008240966796874805;-0.4852587890625002;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.695862;-0.005366210937499893;-0.486217041015625;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.697984;-0.00632446289062516;-0.48602539062500005;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.700098;-0.006132812500000195;-0.48545043945312516;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.702216;-0.006132812500000195;-0.48602539062500005;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.704344;-0.007666015624999911;-0.48640869140625;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.706460;-0.006707763671875089;-0.4844921874999999;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.708585;-0.006899414062500053;-0.48506713867187523;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.710708;-0.006707763671875089;-0.4848754882812498;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.712827;-0.006899414062500053;-0.4848754882812498;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.714946;-0.008240966796874805;-0.486217041015625;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.717099;-0.009199218750000071;-0.48602539062500005;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.719188;-0.009007568359375107;-0.48545043945312516;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.721311;-0.007091064453125018;-0.48468383789062486;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.723428;-0.007091064453125018;-0.48468383789062486;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.725547;-0.007091064453125018;-0.48468383789062486;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.727666;-0.006707763671875089;-0.48430053710937493;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.729781;-0.005941162109374787;-0.4833422851562501;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.731898;-0.0038330078125001776;-0.4833422851562501;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.734014;-0.005557861328124858;-0.4848754882812498;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.736136;-0.005557861328124858;-0.48506713867187523;0.0;-0.006899414062500053;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.738261;-0.0049829101562499645;-0.48506713867187523;0.0;-0.006707763671875089;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.740523;-0.0045996093750000355;-0.4844921874999999;0.0;-0.006707763671875089;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.742510;-0.003641357421875213;-0.4848754882812498;0.0;-0.006707763671875089;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.744627;-0.0030664062499998757;-0.4856420898437501;0.0;-0.006707763671875089;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.746743;-0.0045996093750000355;-0.48410888671874996;0.0;-0.006707763671875089;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.748862;-0.005557861328124858;-0.48468383789062486;0.0;-0.006707763671875089;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.750983;-0.0045996093750000355;-0.48545043945312516;0.0;-0.006707763671875089;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.753099;-0.0034497070312498046;-0.48468383789062486;0.0;-0.006707763671875089;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.755467;-0.0026831054687499467;-0.48468383789062486;0.0;-0.006707763671875089;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.757352;-0.0021081542968750533;-0.48372558593750004;0.0;-0.006707763671875089;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.759461;-0.0017248535156251243;-0.48238403320312484;0.0;-0.006707763671875089;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.761582;-0.0017248535156251243;-0.4827673339843752;0.0;-0.006707763671875089;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.763696;-0.002874755859374911;-0.4829589843750002;0.0;-0.006707763671875089;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.765814;-0.0034497070312498046;-0.481617431640625;0.0;-0.006707763671875089;-0.4848754882812498;-0.005366210937499893;
2024-09-08-01:10:43.767933;-0.0026831054687499467;-0.48123413085937505;0.0;-0.006516113281250124;-0.4848754882812498;-0.005366210937499893;
