time;ahrsDataKalman.angData[0];ahrsDataKalman.angData[1];ahrsDataKalman.angData[2];ahrsDataMahony.angData[0];ahrsDataMahony.angData[1];ahrsDataMahony.angData[2]
2024-09-08-01:08:35.396584;-0.007091064453125018;-0.4856420898437501;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.398687;-0.008815917968750142;-0.48468383789062486;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.400788;-0.00958251953125;-0.4852587890625002;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.402908;-0.008624267578125178;-0.48545043945312516;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.405029;-0.009390869140625036;-0.48640869140625;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.407163;-0.010732421874999787;-0.4869836425781249;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.409273;-0.010157470703124893;-0.48640869140625;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.411394;-0.009390869140625036;-0.48602539062500005;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.413509;-0.007282714843749982;-0.4856420898437501;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.415627;-0.006516113281250124;-0.48545043945312516;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.417749;-0.00804931640624984;-0.4856420898437501;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.419881;-0.008815917968750142;-0.4869836425781249;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.421998;-0.00804931640624984;-0.4858337402343751;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.424114;-0.005941162109374787;-0.4852587890625002;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.426236;-0.005941162109374787;-0.48545043945312516;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.428359;-0.006516113281250124;-0.4858337402343751;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.430477;-0.006899414062500053;-0.48545043945312516;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.432595;-0.00804931640624984;-0.48353393554687507;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.434717;-0.007474365234374947;-0.483917236328125;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.436845;-0.007474365234374947;-0.4827673339843752;0.0;-0.007666015624999911;-0.4867919921874999;-0.008624267578125178;
2024-09-08-01:08:35.438965;-0.00804931640624984;-0.48410888671874996;0.0;-0.007666015624999911;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.441083;-0.006899414062500053;-0.4821923828124999;0.0;-0.007666015624999911;-0.4867919921874999;-0.008624267578125178;
2024-09-08-01:08:35.443208;-0.007666015624999911;-0.4820007324218749;0.0;-0.007666015624999911;-0.4867919921874999;-0.008624267578125178;
2024-09-08-01:08:35.445329;-0.007091064453125018;-0.481617431640625;0.0;-0.007666015624999911;-0.4867919921874999;-0.008624267578125178;
2024-09-08-01:08:35.447453;-0.006132812500000195;-0.4821923828124999;0.0;-0.007666015624999911;-0.4867919921874999;-0.008624267578125178;
2024-09-08-01:08:35.449568;-0.007282714843749982;-0.4825756835937498;0.0;-0.007666015624999911;-0.4867919921874999;-0.008624267578125178;
2024-09-08-01:08:35.451686;-0.00632446289062516;-0.4820007324218749;0.0;-0.007666015624999911;-0.4867919921874999;-0.008624267578125178;
2024-09-08-01:08:35.453808;-0.006516113281250124;-0.48353393554687507;0.0;-0.007666015624999911;-0.4867919921874999;-0.008624267578125178;
2024-09-08-01:08:35.455936;-0.00632446289062516;-0.4833422851562501;0.0;-0.007666015624999911;-0.4867919921874999;-0.008624267578125178;
2024-09-08-01:08:35.458058;-0.005749511718749822;-0.48430053710937493;0.0;-0.007474365234374947;-0.4867919921874999;-0.008624267578125178;
2024-09-08-01:08:35.460185;-0.004216308593750107;-0.4848754882812498;0.0;-0.007474365234374947;-0.4867919921874999;-0.008624267578125178;
2024-09-08-01:08:35.462298;-0.00632446289062516;-0.4858337402343751;0.0;-0.007474365234374947;-0.4867919921874999;-0.008624267578125178;
2024-09-08-01:08:35.464413;-0.006132812500000195;-0.48602539062500005;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.466528;-0.005941162109374787;-0.4867919921874999;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.468645;-0.007282714843749982;-0.4875585937500002;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.470760;-0.005749511718749822;-0.4877502441406252;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.472906;-0.006707763671875089;-0.4877502441406252;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.475023;-0.00632446289062516;-0.486217041015625;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.477143;-0.006516113281250124;-0.4881335449218751;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.479252;-0.005557861328124858;-0.4873669433593748;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.481364;-0.007091064453125018;-0.4869836425781249;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.483483;-0.006899414062500053;-0.48717529296874984;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.485605;-0.00632446289062516;-0.48640869140625;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.487723;-0.007091064453125018;-0.48545043945312516;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.489846;-0.006132812500000195;-0.4848754882812498;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.491963;-0.006899414062500053;-0.4852587890625002;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.494084;-0.007666015624999911;-0.48602539062500005;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.496203;-0.006516113281250124;-0.48468383789062486;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.498319;-0.007282714843749982;-0.4856420898437501;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.500434;-0.00632446289062516;-0.4858337402343751;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.502552;-0.007474365234374947;-0.48372558593750004;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.504681;-0.006707763671875089;-0.48353393554687507;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.506799;-0.005941162109374787;-0.4833422851562501;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
2024-09-08-01:08:35.508926;-0.005557861328124858;-0.4825756835937498;0.0;-0.007474365234374947;-0.4869836425781249;-0.008624267578125178;
